Annapurna,artesia,moderate,indian,3
Ashoka the Great,artesia,moderate,indian,4
Bangkok Blvd,artesia,cheap,thai,4
Brooklyn Pizza,artesia,moderate,italian,4
Canaan Restaurant,artesia,cheap,indian,4
Chinese Dosa Corner,artesia,cheap,indian,4
Geko Tei,artesia,cheap,chinese,4
La Tavolata,artesia,moderate,italian,3
May's Kitchen,artesia,cheap,indian,3
nanking chinese,artesia,cheap,chinese,4
Omar’s Chinese Restaurant,artesia,moderate,chinese,4
Original thai,artesia,moderate,thai,5
Paratha Grill,artesia,cheap,indian,3
Rajdhani,artesia,expensive,indian,3
Standard Snacks and Sweets,artesia,moderate,indian,2
Tara’s Himalayan Cuisine,artesia,moderate,indian,3
Thailicious,artesia,expensive,thai,4
The India Restaurant,artesia,moderate,indian,3
Wok N Tandoor,artesia,moderate,indian,4
Cafe Amici,beverely Hills,expensive,italian,4
Da Pasquale Restaurant,beverely Hills,expensive,pizza,4
Doma,beverely Hills,expensive,italian,4
Ferrarini,beverely Hills,moderate,italian,4
Il Cielo,beverely Hills,expensive,italian,3
Il Pastaio,beverely Hills,expensive,italian,4
Il Tramezzino - Beverly Hills,beverely Hills,moderate,italian,3
melting pot ,beverely Hills,expensive,italian,4
Momed - Beverly Hills,beverely Hills,moderate,thai,3
Monarco,beverely Hills,moderate,Chinese,4
PF Changs,beverely Hills,moderate,Chinese,4
pizzaeria mozza,beverely Hills,moderate,pizza,3
Pomodoro,beverely Hills,expensive,italian,2
Sayuri,beverely Hills,expensive,thai,3
Shanghai Grill,beverely Hills,moderate,chinese,2
Sharky’s Woodfired Mexican Grill,beverely Hills,expensive,mexican,3
The Honor Bar,beverely Hills,moderate,italian,3
Tutt’a Post’ Trattoria,beverely Hills,expensive,italian,4
Upper Crust Pizzeria,beverely Hills,moderate,pizza,2
Urasawa,beverely Hills,expensive,chinese,3
Armando's Lunch Truck,figueroa,cheap,mexican,5
Blaze,figueroa,moderate,pizza,2
Buddha Bing,figueroa,cheap,chinese,3
Chicken Itza,figueroa,cheap,mexican,5
Chipotle,figueroa,cheap,mexican,5
Dominoes,figueroa,cheap,pizza,3
El Huero,figueroa,cheap,Mexican,5
Himalaya,figueroa,moderate,indian,4
La Taquiza,figueroa,moderate,mexican,5
mercado la paloma,figueroa,cheap,mexican,4
Papa Johns,figueroa,cheap,pizza,3
Pasta Roma,figueroa,cheap,italian,3
Pizza studio,figueroa,moderate,pizza,4
Revolutionario: North African Tacos,figueroa,expensive,mexican,4
Rosso's Pizza,figueroa,moderate,italian,2
Taqueria Vista Hermosa,figueroa,cheap,mexican,3
Thai Corner food Corner,figueroa,cheap,thai,5
The Good Karma café,figueroa,moderate,italian,4
Trio House,figueroa,moderate,thai,4
BJ's Pizza,hollywood,moderate,italian,3
Café Gratitude,hollywood,cheap,italian,1
Chipotle,hollywood,cheap,mexican,5
Quodoba,hollywood,moderate,mexican,2
Thai Café,hollywood,moderate,thai,3
Hoy-Ka Thai kitchen and noodle house,hollywood,moderate,thai,4
Franco On Melrose,hollywood,moderate,italian,3
Mama Chela’s Kitchen,hollywood,expensive,mexican,5
Stella Barra Pizzeria,hollywood,moderate,italian,3
Tsuri,hollywood,cheap,chinese,3
Farmboy Kitchen,hollywood,cheap,pizza,3
Cactus Taqueria #1,hollywood,cheap,mexican,4
Bossa Nova on Sunset,hollywood,moderate,pizza,4
Luv2Eat Thai Bistro,hollywood,moderate,thai,4
 Thai Pepper,hollywood,moderate,thai,4
La Numero Uno,hollywood,moderate,mexican,3
Palm’s Thai Restaurant,hollywood,moderate,thai,3
Sharky’s Woodfired Mexican Grill,hollywood,moderate,mexican,4
Rao’s,hollywood,expensive,italian,3
Rincon OaxaQueño,hollywood,moderate,mexican,3
Mission Cantina,hollywood,cheap,mexican,2
Calle Tacos,hollywood,cheap,mexican,3
Cheese Cake Factory,santa monica,expensive,italian,5
Olive Garden,santa monica,moderate,italian,4
Soup Plantation,santa monica,moderate,italian,5
Benny’s Tacos & Chicken Rotisserie,santa monica,cheap,mexican,3
Fritto Misto Italian Café,santa monica,moderate,italian,4
Mondo Taco,santa monica,moderate,mexican,3
Forma Restaurant & Cheese Bar,santa monica,cheap,italian,4
Takuma,santa monica,moderate,chinese,3
India’s Tandoori,santa monica,moderate,indian,4
Tacos Punta Cabras,santa monica,cheap,mexican,4
Tacos Por Favor,santa monica,cheap,mexican,4
Obicà Mozzarella Bar Pizza e Cucina,santa monica,moderate,italian,4
800 Degrees Neapolitan Pizzeria,santa monica,moderate,pizza,3
Caffe 8 1/2,santa monica,cheap,italian,3
Mercado,santa monica,cheap,mexican,4
Milo and Olive,santa monica,moderate,italian,5
Casa Martin Mexican Restaurant,santa monica,moderate,mexican,3
Bruno’s,santa monica,cheap,italian,4
Cafe Zella,santa monica,moderate,italian,4
Stella Barra Pizzeria,santa monica,expensive,pizza,5
